time,seconds_elapsed,roll,rotationRateZ,quaternionY,rotationRateY,quaternionZ,quaternionW,yaw,devicelocation,accelerationZ,pitch,gravityX,gravityZ,quaternionX,rotationRateX,accelerationX,gravityY,accelerationY
2024-12-17 22:53:19.267594000,1.051593994140625,-0.0390969882853594,-0.174264445900917,-0.0194881233125975,0.0832434892654419,-5.106009394165599e-18,0.998801884965753,0.0017567814620584,left,0.0312661044299602,0.0897960768220708,-0.3817687087457627,-9.759675482857228,0.0448915099350888,0.122107982635498,0.0092663187533617,-0.8794163248386233,0.0187059119343757
2024-12-17 22:53:19.296789800,1.080789794921875,-0.0366452586259515,-0.0899160578846931,-0.0183863386336414,-0.0267961602658033,-0.0026674394343313,0.998711761727244,-0.0036077288120488,left,0.0200396887958049,0.0945570445750048,-0.3576820595091208,-9.756287593984604,0.0472198866462681,0.0981309413909912,-0.0095627438277006,-0.9259072231829166,0.0315539240837097
2024-12-17 22:53:19.360096000,1.144095947265625,-0.0380014607416059,-0.0150339594110846,-0.0191060024020678,-0.0783583670854568,-0.0035678992418043,0.9986163105827964,-0.0052840253473073,left,0.0150270871818065,0.0978867999753077,-0.3707940180059522,-9.75265829757154,0.0488647215448117,0.0952872186899185,-0.0125379832461476,-0.958409855119884,0.0107146399095654
2024-12-17 22:53:19.391397000,1.175397216796875,-0.0412908330721125,-0.0267551112920045,-0.0207578146802443,-0.0732505768537521,-0.0038226261387561,0.9985247964828494,-0.005585102043599,left,-0.0020954182837158,0.1002343714517872,-0.4027781059615313,-9.749110834223032,0.0500277589978086,0.0843871012330055,-0.0114035289734601,-0.9813188023466616,-0.0071120695210993
2024-12-17 22:53:19.422500600,1.20650048828125,-0.0434154552009743,-0.0310946684330701,-0.0218542425620482,0.0116731952875852,-0.004565881483859,0.9984549872225535,-0.0069296338206591,left,-0.0342685803771019,0.1019880232526928,-0.4234150166030972,-9.746499190419913,0.0508844880419294,0.0655044987797737,-0.0026741053443402,-0.9984284156449138,-0.0223571304231882
2024-12-17 22:53:19.478813000,1.26281298828125,-0.0414079143476903,-0.0376398302614688,-0.0208844613948596,0.0930864214897155,-0.0050795862026232,0.9983716305693932,-0.0079803313341057,left,-0.0045255604200065,0.1059197616136088,-0.4036820690639316,-9.7433316662997,0.0528408702622431,0.1313410103321075,0.0038370457477867,-1.0367774355225263,-0.0376715995371341
2024-12-17 22:53:19.508819000,1.29281884765625,-0.0374435245269868,-0.1118901818990707,-0.0189953352921972,0.0880130603909492,-0.0064774705702978,0.9982385178987024,-0.0108793481459136,left,0.0103370444849133,0.1119465492547402,-0.3648120940521359,-9.738434541907909,0.0558317429601674,0.138113185763359,0.0058646653778851,-1.0955296303510664,-0.0208968352526426
2024-12-17 22:53:19.536919800,1.320919921875,-0.0345115064685143,-0.1337959021329879,-0.0176893218344926,0.0302337612956762,-0.0089370861191756,0.9980998434646944,-0.015885405876984,left,-0.002352091949433,0.1170514620091812,-0.3360599372224882,-9.73374667635262,0.0583449521339513,0.0495512299239635,-0.0004222650313749,-1.1452638945307585,0.0037837165873497
2024-12-17 22:53:19.625301200,1.40930126953125,-0.0334104436807211,-0.0689250081777572,-0.0172701585716266,-0.0024282040540128,-0.0110786380457915,0.9980639882446304,-0.0202280695871636,left,-0.0231059547513723,0.1178560421829999,-0.3253113833887502,-9.73318611986041,0.0587140382084578,-0.0579093433916568,0.0030741777736693,-1.1530997027229517,0.0099240578711032
2024-12-17 22:53:19.655270400,1.4392705078125,-0.0347343689494636,-0.0120423510670661,-0.0180153145578444,-0.0267526432871818,-0.0129399248438015,0.99816169193191,-0.0239559421214901,left,-0.0181947518140077,0.1133063861429955,-0.3383757764168083,-9.73788976750672,0.0564026173001487,-0.0506822429597377,-0.0008961576386354,-1.108780595459789,-0.0025888697709888
2024-12-17 22:53:19.713828900,1.497828857421875,-0.0353012500798081,0.0092731537297368,-0.0182871205478209,-0.0180022213608026,-0.0129390828362752,0.9982137543503934,-0.0239566994611936,left,0.0025660111568868,0.1112760592211406,-0.3439746924024075,-9.739925657248495,0.0553855926862247,-0.0639033764600753,-0.0026443374808877,-1.0889952601462602,-0.0034888775553554
2024-12-17 22:53:19.743804700,1.5278046875,-0.0352963228187961,-0.0163499899208545,-0.018267806478246,0.0325316116213798,-0.0129697223603294,0.9983136947460456,-0.0240807329907179,left,-0.0120263407006859,0.1076052281034007,-0.3440654759583995,-9.743857151478528,0.0535522221138848,-0.1323592662811279,0.0055087036453187,-1.0532121452338994,-0.0083735054358839
2024-12-17 22:53:19.791336000,1.5753359375,-0.0317963805014156,-0.0721254497766494,-0.0165488580375101,0.1368116587400436,-0.014013754749288,0.9984781165165596,-0.0264467708807795,left,-0.0147706326097249,0.101903503598127,-0.310146364819631,-9.750845110669731,0.0507088756861405,-0.1610545814037323,0.019222117960453,-0.9976038744542748,-0.0093051716685295
2024-12-17 22:53:19.823827000,1.607826904296875,-0.0272132803499402,-0.0873403400182724,-0.0143185626032927,0.0707447901368141,-0.0155825446458594,0.9985906203953158,-0.0298745246179114,left,0.0219545178115367,0.0978108654992927,-0.2655630353960208,-9.75616367534399,0.0486729696616095,-0.0720619037747383,0.011296889744699,-0.9576688274942338,0.0012979081366211
2024-12-17 22:53:19.877106400,1.6611064453125,-0.0259575222753037,-0.0338880121707916,-0.0137424740994949,-0.0514228343963623,-0.0168159948967817,0.9986136035438496,-0.0324235611969731,left,0.0487313754856586,0.0963806145787967,-0.2533467288309708,-9.757848851951955,0.0479511194047274,-0.0552000440657138,-0.0175028145313262,-0.9437089103985578,0.0348930433392524
