time,seconds_elapsed,roll,rotationRateZ,quaternionY,rotationRateY,quaternionZ,quaternionW,yaw,devicelocation,accelerationZ,pitch,gravityX,gravityZ,quaternionX,rotationRateX,accelerationX,gravityY,accelerationY
2024-12-09 17:10:01.288091600,1.040091552734375,-0.0580337181767353,0.0732781141996383,-0.0285810795263418,0.0026937478687614,-5.207065799543986e-17,0.9946348938622964,-0.0057976619673194,left,0.0004051983705721,-0.1990874944006851,-0.5575617308402434,-9.596760464373231,-0.0994208695004484,0.0134563744068145,0.005850339308381,1.9395093886926769,-0.0041361520998179
2024-12-09 17:10:01.334394000,1.08639404296875,-0.0568610977396591,0.0532353445887565,-0.0281347686150988,0.0124623691663146,0.0012762234636362,0.9946987508298412,-0.0030865211750868,left,-0.0030981129966676,-0.1981166857517531,-0.5464147522734478,-9.599283260849118,-0.0988999903441942,0.0409862920641899,0.0021337426733225,1.9301761815495788,-0.0014357229229062
2024-12-09 17:10:01.364336000,1.116336181640625,-0.0556597810881153,0.0422114804387092,-0.0276492494118349,0.0107177700847387,0.0022878541812167,0.9948044147313336,-0.0008815225818041,left,-6.00021448917e-05,-0.1962679783920158,-0.5350801787126809,-9.603478958973287,-0.0979508174280614,0.0506231226027011,0.0035440037027001,1.9123979482747613,-0.0019102091901004
2024-12-09 17:10:01.394460000,1.1464599609375,-0.0548291777689286,0.0261268690228462,-0.0273204173077178,0.0076995161361992,0.0030387169225731,0.9949388285642063,0.0007802999575073,left,0.0028155676554888,-0.1936940458571696,-0.5273713213684037,-9.608803368866443,-0.0966487201384078,0.08155357837677,0.0022915347944945,1.8876345322877168,-0.0073197428137063
2024-12-09 17:10:01.449915600,1.20191552734375,-0.0539741296821158,0.0219774264842271,-0.026945819486985,0.0249173827469348,0.0034511521731383,0.9950978381772364,0.0017760462456099,left,-0.0075665386393666,-0.1905863118175672,-0.5194690968764946,-9.615061844739316,-0.0950904663153259,0.0692360997200012,0.002728559076786,1.8577189942345025,-0.0081798220053315
2024-12-09 17:10:01.507724500,1.259724609375,-0.0446409936034181,0.1371432989835739,-0.0226129202921132,0.1418318599462509,0.0062634142835175,0.9953226219710812,0.0083775531810419,left,0.0030435028020292,-0.1879390903747356,-0.4299270653782412,-9.624370355832577,-0.0937140385742358,0.0281790513545274,-0.01494394056499,1.8322221494063733,-0.0088494904339313
2024-12-09 17:10:01.564977700,1.316977783203125,-0.0385735481666251,0.103781558573246,-0.0198379446272084,0.1283191293478012,0.0086003699582512,0.9954282423068416,0.0136687386336235,left,0.0032339820172637,-0.186637774059796,-0.3716157827176153,-9.62917629480958,-0.0930327664034595,0.0251746028661727,0.010462493635714,1.819683716481179,-0.0326126851141452
2024-12-09 17:10:01.594135800,1.3461357421875,-0.0353046034926109,0.0239740684628486,-0.0183244976707032,0.0443685948848724,0.0096824521781442,0.9954820726863812,0.0161606721743626,left,0.0139239225536584,-0.1859067081530031,-0.3401834834259003,-9.631666358059643,-0.0926600523616739,0.0065601784735918,0.0109802726656198,1.8126384741447863,-0.0349833443760871
2024-12-09 17:10:01.669026800,1.42102685546875,-0.038116697289314,-0.087330475449562,-0.0195811785692622,-0.0839887782931327,0.0083013887653198,0.995538596232286,0.0131519971129647,left,0.0083588864654302,-0.1844010781280233,-0.3673708386242389,-9.63338835954666,-0.0919264693973775,-0.0402900204062461,0.02109095454216,1.7981256724067032,-0.0325255207717418
2024-12-09 17:10:01.724957400,1.47695751953125,-0.042454421567522,-0.0730324760079383,-0.0215637416851831,-0.1154852882027626,0.0065758926695223,0.9953530576905744,0.0092153024450822,left,0.0019033385906368,-0.1877471138641433,-0.4088965888418257,-9.625638768333197,-0.0936162654565423,-0.2034122496843338,0.0189760793000459,1.8303725760169327,-0.0077891424298286
2024-12-09 17:10:01.753970700,1.505970703125,-0.047328765380362,-0.0276447627693414,-0.0238792798987832,-0.1375417709350586,0.0056756756727612,0.9949405444238166,0.0067700708145858,left,0.0156557541340589,-0.1953679125226658,-0.4551370560890063,-9.609318917173146,-0.0974210974482961,-0.2247578054666519,0.0093576414510607,1.9037400100447237,-0.0045983749441802
2024-12-09 17:10:01.809895000,1.56189501953125,-0.0520403309068788,0.036828264594078,-0.0262283349275745,-0.1480890214443206,0.0060146155153461,0.9945604170591243,0.0068239240471129,left,0.0097733372822403,-0.2018384561900419,-0.4997555481575429,-9.594565000155567,-0.1006250064701775,-0.1453934907913208,-0.0005983665469102,1.965946875371784,0.0125618930906057
2024-12-09 17:10:01.843710200,1.595710205078125,-0.0556521816527479,0.072304181754589,-0.0281386460468774,-0.100748062133789,0.007349147499686,0.9942851373855854,0.0090247348816718,left,-0.0090953595936298,-0.2061339790513014,-0.5339317027973011,-9.584177461653947,-0.1027188608317581,-0.1085124015808105,0.0005769400158897,2.007198192562163,0.0158343780785799
2024-12-09 17:10:01.889906000,1.641906005859375,-0.0588722997373028,0.0628087073564529,-0.0298892720409466,-0.1018963456153869,0.0089672482388202,0.9940374308973072,0.011841879294104,left,-0.0079544894397258,-0.2097823840471239,-0.5643564324816689,-9.57503437025547,-0.104478465439026,-0.0613931491971015,0.0012488772626966,2.042205939187854,0.0090571641921997
2024-12-09 17:10:01.921859600,1.673859619140625,-0.061950621490981,0.0435468815267086,-0.0315281597338256,-0.0853171274065971,0.0101587850646625,0.993832967891232,0.0138311543064283,left,-0.0103700328618288,-0.2125815372732953,-0.5934724907202645,-9.567508650925754,-0.1058243471885974,-0.0630087256431579,0.0034964843653142,2.069046307579428,0.0083105042576789
